Unnamed: 0,Year,Disorder,DALYs,Region,Source
6,1996,Depressive disorders,615.9653110344829,Region of the Americas,Average
7,1997,Depressive disorders,618.8390506896552,Region of the Americas,Average
8,1998,Depressive disorders,621.9899662068965,Region of the Americas,Average
9,1999,Depressive disorders,624.6502641379311,Region of the Americas,Average
10,2000,Depressive disorders,625.9502744827587,Region of the Americas,Average
11,2001,Depressive disorders,626.3325086206897,Region of the Americas,Average
12,2002,Depressive disorders,626.5725055172413,Region of the Americas,Average
13,2003,Depressive disorders,626.5994062068966,Region of the Americas,Average
14,2004,Depressive disorders,626.2905824137931,Region of the Americas,Average
15,2005,Depressive disorders,625.4954441379311,Region of the Americas,Average
16,2006,Depressive disorders,622.9498193103449,Region of the Americas,Average
17,2007,Depressive disorders,618.4988851724137,Region of the Americas,Average
18,2008,Depressive disorders,613.3367193103447,Region of the Americas,Average
19,2009,Depressive disorders,608.9667272413793,Region of the Americas,Average
20,2010,Depressive disorders,606.580642413793,Region of the Americas,Average
21,2011,Depressive disorders,605.8294303448276,Region of the Americas,Average
22,2012,Depressive disorders,605.5150248275861,Region of the Americas,Average
23,2013,Depressive disorders,605.4141365517243,Region of the Americas,Average
24,2014,Depressive disorders,605.4183196551724,Region of the Americas,Average
25,2015,Depressive disorders,605.3786786206897,Region of the Americas,Average
26,2016,Depressive disorders,605.2858531034482,Region of the Americas,Average
27,2017,Depressive disorders,605.1499203448276,Region of the Americas,Average
28,2018,Depressive disorders,605.5538313793104,Region of the Americas,Average
29,2019,Depressive disorders,606.3004265517242,Region of the Americas,Average
30,1990,Schizophrenia,180.05863586206894,Region of the Americas,Average
31,1991,Schizophrenia,180.09490413793102,Region of the Americas,Average
32,1992,Schizophrenia,180.1581610344828,Region of the Americas,Average
33,1993,Schizophrenia,180.22329689655172,Region of the Americas,Average
34,1994,Schizophrenia,180.2532344827586,Region of the Americas,Average
35,1995,Schizophrenia,180.27544241379312,Region of the Americas,Average
36,1996,Schizophrenia,180.35620793103445,Region of the Americas,Average
37,1997,Schizophrenia,180.46850379310345,Region of the Americas,Average
38,1998,Schizophrenia,180.5576189655173,Region of the Americas,Average
39,1999,Schizophrenia,180.65374517241375,Region of the Americas,Average
40,2000,Schizophrenia,180.7079972413793,Region of the Americas,Average
41,2001,Schizophrenia,180.7442679310345,Region of the Americas,Average
42,2002,Schizophrenia,180.9075675862069,Region of the Americas,Average
43,2003,Schizophrenia,181.0159251724138,Region of the Americas,Average
44,2004,Schizophrenia,181.1997593103449,Region of the Americas,Average
45,2005,Schizophrenia,181.32124310344827,Region of the Americas,Average
46,2006,Schizophrenia,181.4538548275862,Region of the Americas,Average
47,2007,Schizophrenia,181.7403913793103,Region of the Americas,Average
48,2008,Schizophrenia,182.03350413793103,Region of the Americas,Average
49,2009,Schizophrenia,182.2695413793103,Region of the Americas,Average
50,2010,Schizophrenia,182.45403413793105,Region of the Americas,Average
51,2011,Schizophrenia,182.4159810344828,Region of the Americas,Average
52,2012,Schizophrenia,182.36094551724145,Region of the Americas,Average
53,2013,Schizophrenia,182.27838586206897,Region of the Americas,Average
54,2014,Schizophrenia,182.1935575862069,Region of the Americas,Average
55,2015,Schizophrenia,182.1980896551724,Region of the Americas,Average
56,2016,Schizophrenia,182.21325827586205,Region of the Americas,Average
57,2017,Schizophrenia,182.21440827586207,Region of the Americas,Average
58,2018,Schizophrenia,182.20456862068963,Region of the Americas,Average
59,2019,Schizophrenia,182.1754355172414,Region of the Americas,Average
60,1990,Bipolar disorder,191.8423058620689,Region of the Americas,Average
61,1991,Bipolar disorder,191.81703137931035,Region of the Americas,Average
62,1992,Bipolar disorder,191.8321155172414,Region of the Americas,Average
63,1993,Bipolar disorder,191.8320710344828,Region of the Americas,Average
64,1994,Bipolar disorder,191.86191482758625,Region of the Americas,Average
65,1995,Bipolar disorder,191.8898237931035,Region of the Americas,Average
66,1996,Bipolar disorder,191.87224517241376,Region of the Americas,Average
67,1997,Bipolar disorder,191.8798413793104,Region of the Americas,Average
68,1998,Bipolar disorder,191.86119,Region of the Americas,Average
69,1999,Bipolar disorder,191.8525755172414,Region of the Americas,Average
70,2000,Bipolar disorder,191.8553110344828,Region of the Americas,Average
71,2001,Bipolar disorder,192.00202,Region of the Americas,Average
72,2002,Bipolar disorder,192.3883010344828,Region of the Americas,Average
73,2003,Bipolar disorder,192.8467220689656,Region of the Americas,Average
74,2004,Bipolar disorder,193.22148517241376,Region of the Americas,Average
75,2005,Bipolar disorder,193.37573551724137,Region of the Americas,Average
76,2006,Bipolar disorder,193.40678344827583,Region of the Americas,Average
77,2007,Bipolar disorder,193.4239265517241,Region of the Americas,Average
78,2008,Bipolar disorder,193.41491655172408,Region of the Americas,Average
79,2009,Bipolar disorder,193.43453724137933,Region of the Americas,Average
80,2010,Bipolar disorder,193.46144551724132,Region of the Americas,Average
81,2011,Bipolar disorder,193.4520565517241,Region of the Americas,Average
82,2012,Bipolar disorder,193.3741806896552,Region of the Americas,Average
83,2013,Bipolar disorder,193.386808275862,Region of the Americas,Average
84,2014,Bipolar disorder,193.4009065517241,Region of the Americas,Average
85,2015,Bipolar disorder,193.34168965517244,Region of the Americas,Average
86,2016,Bipolar disorder,193.31586413793104,Region of the Americas,Average
87,2017,Bipolar disorder,193.28631137931035,Region of the Americas,Average
88,2018,Bipolar disorder,193.2449289655173,Region of the Americas,Average
89,2019,Bipolar disorder,193.2257751724138,Region of the Americas,Average
90,1990,Eating disorders,45.8557901724138,Region of the Americas,Average
91,1991,Eating disorders,46.00695682758621,Region of the Americas,Average
92,1992,Eating disorders,46.1879525862069,Region of the Americas,Average
93,1993,Eating disorders,46.35324072413794,Region of the Americas,Average
94,1994,Eating disorders,46.54158765517241,Region of the Americas,Average
95,1995,Eating disorders,46.67847306896552,Region of the Americas,Average
96,1996,Eating disorders,46.81353727586207,Region of the Americas,Average
97,1997,Eating disorders,47.03098424137931,Region of the Americas,Average
98,1998,Eating disorders,47.22767796551725,Region of the Americas,Average
99,1999,Eating disorders,47.43913934482758,Region of the Americas,Average
100,2000,Eating disorders,47.6023158275862,Region of the Americas,Average
101,2001,Eating disorders,47.77056510344826,Region of the Americas,Average
102,2002,Eating disorders,47.97964803448276,Region of the Americas,Average
103,2003,Eating disorders,48.19984975862069,Region of the Americas,Average
104,2004,Eating disorders,48.441465655172415,Region of the Americas,Average
105,2005,Eating disorders,48.6912671724138,Region of the Americas,Average
106,2006,Eating disorders,49.01059286206896,Region of the Americas,Average
107,2007,Eating disorders,49.43301175862069,Region of the Americas,Average
108,2008,Eating disorders,49.92618844827585,Region of the Americas,Average
109,2009,Eating disorders,50.396379793103456,Region of the Americas,Average
110,2010,Eating disorders,50.77644037931034,Region of the Americas,Average
111,2011,Eating disorders,51.07127279310345,Region of the Americas,Average
112,2012,Eating disorders,51.33389293103448,Region of the Americas,Average
113,2013,Eating disorders,51.57214024137931,Region of the Americas,Average
114,2014,Eating disorders,51.80792027586208,Region of the Americas,Average
115,2015,Eating disorders,52.083587551724136,Region of the Americas,Average
116,2016,Eating disorders,52.51486889655172,Region of the Americas,Average
117,2017,Eating disorders,52.87255503448276,Region of the Americas,Average
118,2018,Eating disorders,53.04890851724139,Region of the Americas,Average
119,2019,Eating disorders,53.18242800000001,Region of the Americas,Average
120,1990,Anxiety disorders,429.26204310344826,Region of the Americas,Average
121,1991,Anxiety disorders,429.19328,Region of the Americas,Average
122,1992,Anxiety disorders,429.1819127586207,Region of the Americas,Average
123,1993,Anxiety disorders,429.2534789655173,Region of the Americas,Average
124,1994,Anxiety disorders,429.4431279310344,Region of the Americas,Average
125,1995,Anxiety disorders,429.5298848275862,Region of the Americas,Average
126,1996,Anxiety disorders,430.4564210344828,Region of the Americas,Average
127,1997,Anxiety disorders,432.6081834482758,Region of the Americas,Average
128,1998,Anxiety disorders,435.24546551724137,Region of the Americas,Average
129,1999,Anxiety disorders,437.68520517241376,Region of the Americas,Average
130,2000,Anxiety disorders,439.3917862068965,Region of the Americas,Average
131,2001,Anxiety disorders,440.44831517241374,Region of the Americas,Average
132,2002,Anxiety disorders,441.4880955172414,Region of the Americas,Average
133,2003,Anxiety disorders,442.4032279310345,Region of the Americas,Average
134,2004,Anxiety disorders,443.0272106896553,Region of the Americas,Average
135,2005,Anxiety disorders,443.30795620689656,Region of the Americas,Average
136,2006,Anxiety disorders,443.1993137931035,Region of the Americas,Average
137,2007,Anxiety disorders,443.1401151724138,Region of the Americas,Average
138,2008,Anxiety disorders,443.0261189655173,Region of the Americas,Average
139,2009,Anxiety disorders,443.0116189655173,Region of the Americas,Average
140,2010,Anxiety disorders,443.15346793103447,Region of the Americas,Average
141,2011,Anxiety disorders,443.1147744827586,Region of the Americas,Average
142,2012,Anxiety disorders,442.7895231034483,Region of the Americas,Average
143,2013,Anxiety disorders,442.31816551724137,Region of the Americas,Average
144,2014,Anxiety disorders,442.0199565517242,Region of the Americas,Average
145,2015,Anxiety disorders,442.1596196551725,Region of the Americas,Average
146,2016,Anxiety disorders,443.44251,Region of the Americas,Average
147,2017,Anxiety disorders,444.5535610344828,Region of the Americas,Average
148,2018,Anxiety disorders,445.41372517241376,Region of the Americas,Average
149,2019,Anxiety disorders,446.9940703448276,Region of the Americas,Average
0,1990,Depressive disorders,576.56856,South-East Asia Region,Average
1,1991,Depressive disorders,577.825813,South-East Asia Region,Average
2,1992,Depressive disorders,578.7304879999999,South-East Asia Region,Average
3,1993,Depressive disorders,579.26197,South-East Asia Region,Average
4,1994,Depressive disorders,579.321081,South-East Asia Region,Average
5,1995,Depressive disorders,578.7120550000001,South-East Asia Region,Average
6,1996,Depressive disorders,578.037724,South-East Asia Region,Average
7,1997,Depressive disorders,577.3075510000001,South-East Asia Region,Average
8,1998,Depressive disorders,576.7257010000001,South-East Asia Region,Average
9,1999,Depressive disorders,575.9384379999999,South-East Asia Region,Average
10,2000,Depressive disorders,574.693388,South-East Asia Region,Average
11,2001,Depressive disorders,573.439151,South-East Asia Region,Average
12,2002,Depressive disorders,572.514114,South-East Asia Region,Average
13,2003,Depressive disorders,571.6635699999999,South-East Asia Region,Average
14,2004,Depressive disorders,570.5987620000001,South-East Asia Region,Average
15,2005,Depressive disorders,569.0579270000001,South-East Asia Region,Average
16,2006,Depressive disorders,565.661974,South-East Asia Region,Average
17,2007,Depressive disorders,559.700171,South-East Asia Region,Average
18,2008,Depressive disorders,553.0554040000001,South-East Asia Region,Average
19,2009,Depressive disorders,547.519583,South-East Asia Region,Average
20,2010,Depressive disorders,544.616215,South-East Asia Region,Average
21,2011,Depressive disorders,543.4131299999999,South-East Asia Region,Average
22,2012,Depressive disorders,541.7590090000001,South-East Asia Region,Average
23,2013,Depressive disorders,540.033827,South-East Asia Region,Average
24,2014,Depressive disorders,538.504091,South-East Asia Region,Average
25,2015,Depressive disorders,537.719614,South-East Asia Region,Average
26,2016,Depressive disorders,537.1115050000001,South-East Asia Region,Average
27,2017,Depressive disorders,536.5862089999999,South-East Asia Region,Average
28,2018,Depressive disorders,537.541569,South-East Asia Region,Average
29,2019,Depressive disorders,539.7191849999999,South-East Asia Region,Average
30,1990,Schizophrenia,178.56123300000002,South-East Asia Region,Average
31,1991,Schizophrenia,178.84598,South-East Asia Region,Average
32,1992,Schizophrenia,179.22360199999997,South-East Asia Region,Average
33,1993,Schizophrenia,179.467703,South-East Asia Region,Average
34,1994,Schizophrenia,179.605089,South-East Asia Region,Average
35,1995,Schizophrenia,179.683294,South-East Asia Region,Average
36,1996,Schizophrenia,179.78709899999996,South-East Asia Region,Average
37,1997,Schizophrenia,179.760873,South-East Asia Region,Average
38,1998,Schizophrenia,179.68428,South-East Asia Region,Average
39,1999,Schizophrenia,179.775254,South-East Asia Region,Average
40,2000,Schizophrenia,179.719571,South-East Asia Region,Average
41,2001,Schizophrenia,179.95079,South-East Asia Region,Average
42,2002,Schizophrenia,180.225837,South-East Asia Region,Average
43,2003,Schizophrenia,180.603495,South-East Asia Region,Average
44,2004,Schizophrenia,180.834432,South-East Asia Region,Average
45,2005,Schizophrenia,181.005125,South-East Asia Region,Average
46,2006,Schizophrenia,181.186434,South-East Asia Region,Average
47,2007,Schizophrenia,181.238212,South-East Asia Region,Average
48,2008,Schizophrenia,181.338574,South-East Asia Region,Average
49,2009,Schizophrenia,181.474701,South-East Asia Region,Average
50,2010,Schizophrenia,181.586781,South-East Asia Region,Average
51,2011,Schizophrenia,181.87384000000003,South-East Asia Region,Average
52,2012,Schizophrenia,182.33131,South-East Asia Region,Average
53,2013,Schizophrenia,182.927232,South-East Asia Region,Average
54,2014,Schizophrenia,183.403564,South-East Asia Region,Average
55,2015,Schizophrenia,183.716233,South-East Asia Region,Average
56,2016,Schizophrenia,183.651762,South-East Asia Region,Average
57,2017,Schizophrenia,183.65779300000003,South-East Asia Region,Average
58,2018,Schizophrenia,183.795673,South-East Asia Region,Average
59,2019,Schizophrenia,184.087019,South-East Asia Region,Average
60,1990,Bipolar disorder,71.93297290000001,South-East Asia Region,Average
61,1991,Bipolar disorder,71.9706449,South-East Asia Region,Average
62,1992,Bipolar disorder,72.00674380000001,South-East Asia Region,Average
63,1993,Bipolar disorder,72.02623009999999,South-East Asia Region,Average
64,1994,Bipolar disorder,71.98801929999999,South-East Asia Region,Average
65,1995,Bipolar disorder,71.9819711,South-East Asia Region,Average
66,1996,Bipolar disorder,72.0242532,South-East Asia Region,Average
67,1997,Bipolar disorder,72.0270564,South-East Asia Region,Average
68,1998,Bipolar disorder,72.0320221,South-East Asia Region,Average
69,1999,Bipolar disorder,72.02960490000001,South-East Asia Region,Average
70,2000,Bipolar disorder,72.05662630000002,South-East Asia Region,Average
71,2001,Bipolar disorder,72.05668899999998,South-East Asia Region,Average
72,2002,Bipolar disorder,72.05638059999998,South-East Asia Region,Average
73,2003,Bipolar disorder,72.10427,South-East Asia Region,Average
74,2004,Bipolar disorder,72.1655879,South-East Asia Region,Average
75,2005,Bipolar disorder,72.1552808,South-East Asia Region,Average
76,2006,Bipolar disorder,72.189605,South-East Asia Region,Average
77,2007,Bipolar disorder,72.17541940000001,South-East Asia Region,Average
78,2008,Bipolar disorder,72.2392429,South-East Asia Region,Average
79,2009,Bipolar disorder,72.260557,South-East Asia Region,Average
80,2010,Bipolar disorder,72.27107470000001,South-East Asia Region,Average
81,2011,Bipolar disorder,72.2433999,South-East Asia Region,Average
82,2012,Bipolar disorder,72.2203122,South-East Asia Region,Average
83,2013,Bipolar disorder,72.2647374,South-East Asia Region,Average
84,2014,Bipolar disorder,72.21230829999999,South-East Asia Region,Average
85,2015,Bipolar disorder,72.23670860000001,South-East Asia Region,Average
86,2016,Bipolar disorder,72.2124429,South-East Asia Region,Average
87,2017,Bipolar disorder,72.22991240000002,South-East Asia Region,Average
88,2018,Bipolar disorder,72.1938266,South-East Asia Region,Average
89,2019,Bipolar disorder,72.2186105,South-East Asia Region,Average
90,1990,Eating disorders,17.7201461,South-East Asia Region,Average
91,1991,Eating disorders,17.8704089,South-East Asia Region,Average
92,1992,Eating disorders,18.0308801,South-East Asia Region,Average
93,1993,Eating disorders,18.153717800000003,South-East Asia Region,Average
94,1994,Eating disorders,18.2814352,South-East Asia Region,Average
95,1995,Eating disorders,18.4041986,South-East Asia Region,Average
96,1996,Eating disorders,18.52201475,South-East Asia Region,Average
97,1997,Eating disorders,18.6360716,South-East Asia Region,Average
98,1998,Eating disorders,18.7489872,South-East Asia Region,Average
99,1999,Eating disorders,18.8896955,South-East Asia Region,Average
100,2000,Eating disorders,19.036085,South-East Asia Region,Average
101,2001,Eating disorders,19.2073031,South-East Asia Region,Average
102,2002,Eating disorders,19.3726526,South-East Asia Region,Average
103,2003,Eating disorders,19.5899229,South-East Asia Region,Average
104,2004,Eating disorders,19.8144615,South-East Asia Region,Average
105,2005,Eating disorders,20.0323816,South-East Asia Region,Average
106,2006,Eating disorders,20.2626371,South-East Asia Region,Average
107,2007,Eating disorders,20.5386591,South-East Asia Region,Average
108,2008,Eating disorders,20.8505738,South-East Asia Region,Average
109,2009,Eating disorders,21.1489278,South-East Asia Region,Average
110,2010,Eating disorders,21.4441083,South-East Asia Region,Average
111,2011,Eating disorders,21.7536414,South-East Asia Region,Average
112,2012,Eating disorders,22.073869800000004,South-East Asia Region,Average
113,2013,Eating disorders,22.41461295,South-East Asia Region,Average
114,2014,Eating disorders,22.765293,South-East Asia Region,Average
115,2015,Eating disorders,23.1007263,South-East Asia Region,Average
116,2016,Eating disorders,23.536383800000003,South-East Asia Region,Average
117,2017,Eating disorders,23.917767500000004,South-East Asia Region,Average
118,2018,Eating disorders,24.1972198,South-East Asia Region,Average
119,2019,Eating disorders,24.458716000000003,South-East Asia Region,Average
120,1990,Anxiety disorders,319.946318,South-East Asia Region,Average
121,1991,Anxiety disorders,319.789819,South-East Asia Region,Average
122,1992,Anxiety disorders,319.718859,South-East Asia Region,Average
123,1993,Anxiety disorders,319.63474999999994,South-East Asia Region,Average
124,1994,Anxiety disorders,319.55475600000005,South-East Asia Region,Average
125,1995,Anxiety disorders,319.42675,South-East Asia Region,Average
126,1996,Anxiety disorders,319.272807,South-East Asia Region,Average
127,1997,Anxiety disorders,318.927409,South-East Asia Region,Average
128,1998,Anxiety disorders,318.468927,South-East Asia Region,Average
129,1999,Anxiety disorders,318.21635899999995,South-East Asia Region,Average
130,2000,Anxiety disorders,318.294908,South-East Asia Region,Average
131,2001,Anxiety disorders,318.77526900000004,South-East Asia Region,Average
132,2002,Anxiety disorders,319.828451,South-East Asia Region,Average
133,2003,Anxiety disorders,321.034541,South-East Asia Region,Average
134,2004,Anxiety disorders,322.164944,South-East Asia Region,Average
135,2005,Anxiety disorders,322.817425,South-East Asia Region,Average
136,2006,Anxiety disorders,323.329326,South-East Asia Region,Average
137,2007,Anxiety disorders,324.086311,South-East Asia Region,Average
138,2008,Anxiety disorders,324.96933,South-East Asia Region,Average
139,2009,Anxiety disorders,325.856964,South-East Asia Region,Average
140,2010,Anxiety disorders,326.550615,South-East Asia Region,Average
141,2011,Anxiety disorders,327.331651,South-East Asia Region,Average
142,2012,Anxiety disorders,328.29619,South-East Asia Region,Average
143,2013,Anxiety disorders,329.34515300000004,South-East Asia Region,Average
144,2014,Anxiety disorders,330.25021200000003,South-East Asia Region,Average
145,2015,Anxiety disorders,330.90190799999993,South-East Asia Region,Average
146,2016,Anxiety disorders,331.297378,South-East Asia Region,Average
147,2017,Anxiety disorders,331.551975,South-East Asia Region,Average
148,2018,Anxiety disorders,331.865393,South-East Asia Region,Average
149,2019,Anxiety disorders,332.276518,South-East Asia Region,Average
0,1990,Depressive disorders,520.8948635714286,Western Pacific Region,Average
1,1991,Depressive disorders,521.4753885714287,Western Pacific Region,Average
2,1992,Depressive disorders,521.7742735714286,Western Pacific Region,Average
3,1993,Depressive disorders,521.7777964285714,Western Pacific Region,Average
4,1994,Depressive disorders,521.5197871428571,Western Pacific Region,Average
5,1995,Depressive disorders,521.1670457142857,Western Pacific Region,Average
6,1996,Depressive disorders,519.7134399999999,Western Pacific Region,Average
7,1997,Depressive disorders,517.3850092857143,Western Pacific Region,Average
8,1998,Depressive disorders,514.6405207142858,Western Pacific Region,Average
9,1999,Depressive disorders,512.2604707142857,Western Pacific Region,Average
10,2000,Depressive disorders,510.8245142857142,Western Pacific Region,Average
11,2001,Depressive disorders,510.7113864285714,Western Pacific Region,Average
12,2002,Depressive disorders,511.1525264285714,Western Pacific Region,Average
13,2003,Depressive disorders,511.6079264285714,Western Pacific Region,Average
14,2004,Depressive disorders,511.7496471428572,Western Pacific Region,Average
15,2005,Depressive disorders,511.0935278571428,Western Pacific Region,Average
16,2006,Depressive disorders,509.0708471428572,Western Pacific Region,Average
17,2007,Depressive disorders,506.1201992857143,Western Pacific Region,Average
18,2008,Depressive disorders,502.8281085714286,Western Pacific Region,Average
19,2009,Depressive disorders,500.1122014285714,Western Pacific Region,Average
20,2010,Depressive disorders,498.3944635714286,Western Pacific Region,Average
21,2011,Depressive disorders,498.1449164285714,Western Pacific Region,Average
22,2012,Depressive disorders,498.59105357142863,Western Pacific Region,Average
23,2013,Depressive disorders,499.38001214285714,Western Pacific Region,Average
24,2014,Depressive disorders,500.0594500000001,Western Pacific Region,Average
25,2015,Depressive disorders,500.17128714285707,Western Pacific Region,Average
26,2016,Depressive disorders,498.80766357142863,Western Pacific Region,Average
27,2017,Depressive disorders,497.42876642857146,Western Pacific Region,Average
28,2018,Depressive disorders,497.53752714285713,Western Pacific Region,Average
29,2019,Depressive disorders,498.0351057142857,Western Pacific Region,Average
30,1990,Schizophrenia,191.2898242857143,Western Pacific Region,Average
31,1991,Schizophrenia,191.6036392857143,Western Pacific Region,Average
32,1992,Schizophrenia,191.92997642857145,Western Pacific Region,Average
33,1993,Schizophrenia,192.1581557142857,Western Pacific Region,Average
34,1994,Schizophrenia,192.3192092857143,Western Pacific Region,Average
35,1995,Schizophrenia,192.4674857142857,Western Pacific Region,Average
36,1996,Schizophrenia,192.51506357142856,Western Pacific Region,Average
37,1997,Schizophrenia,192.58462285714288,Western Pacific Region,Average
38,1998,Schizophrenia,192.5700057142857,Western Pacific Region,Average
39,1999,Schizophrenia,192.5535485714286,Western Pacific Region,Average
40,2000,Schizophrenia,192.6358942857143,Western Pacific Region,Average
41,2001,Schizophrenia,192.8002792857143,Western Pacific Region,Average
42,2002,Schizophrenia,193.10757785714287,Western Pacific Region,Average
43,2003,Schizophrenia,193.5246371428572,Western Pacific Region,Average
44,2004,Schizophrenia,193.7651192857143,Western Pacific Region,Average
45,2005,Schizophrenia,193.9870428571428,Western Pacific Region,Average
46,2006,Schizophrenia,194.1301621428572,Western Pacific Region,Average
47,2007,Schizophrenia,194.3600335714286,Western Pacific Region,Average
48,2008,Schizophrenia,194.55786642857143,Western Pacific Region,Average
49,2009,Schizophrenia,194.737205,Western Pacific Region,Average
50,2010,Schizophrenia,194.88311642857144,Western Pacific Region,Average
51,2011,Schizophrenia,195.1068914285714,Western Pacific Region,Average
52,2012,Schizophrenia,195.44974,Western Pacific Region,Average
53,2013,Schizophrenia,195.8513321428572,Western Pacific Region,Average
54,2014,Schizophrenia,196.2298671428572,Western Pacific Region,Average
55,2015,Schizophrenia,196.45702214285717,Western Pacific Region,Average
56,2016,Schizophrenia,196.54194285714283,Western Pacific Region,Average
57,2017,Schizophrenia,196.5074678571429,Western Pacific Region,Average
58,2018,Schizophrenia,196.63794785714285,Western Pacific Region,Average
59,2019,Schizophrenia,196.9195021428571,Western Pacific Region,Average
60,1990,Bipolar disorder,109.13722235714286,Western Pacific Region,Average
61,1991,Bipolar disorder,109.12814257142858,Western Pacific Region,Average
62,1992,Bipolar disorder,109.0936092142857,Western Pacific Region,Average
63,1993,Bipolar disorder,109.1312847142857,Western Pacific Region,Average
64,1994,Bipolar disorder,109.15176135714286,Western Pacific Region,Average
65,1995,Bipolar disorder,109.1538385,Western Pacific Region,Average
66,1996,Bipolar disorder,109.15586064285716,Western Pacific Region,Average
67,1997,Bipolar disorder,109.15348164285712,Western Pacific Region,Average
68,1998,Bipolar disorder,109.18148292857144,Western Pacific Region,Average
69,1999,Bipolar disorder,109.20440657142858,Western Pacific Region,Average
70,2000,Bipolar disorder,109.20553178571429,Western Pacific Region,Average
71,2001,Bipolar disorder,109.34991292857144,Western Pacific Region,Average
72,2002,Bipolar disorder,109.57594407142858,Western Pacific Region,Average
73,2003,Bipolar disorder,109.918799,Western Pacific Region,Average
74,2004,Bipolar disorder,110.1777617142857,Western Pacific Region,Average
75,2005,Bipolar disorder,110.30376578571428,Western Pacific Region,Average
76,2006,Bipolar disorder,110.27499092857144,Western Pacific Region,Average
77,2007,Bipolar disorder,110.23696928571428,Western Pacific Region,Average
78,2008,Bipolar disorder,110.13800542857145,Western Pacific Region,Average
79,2009,Bipolar disorder,110.025091,Western Pacific Region,Average
80,2010,Bipolar disorder,110.04248471428572,Western Pacific Region,Average
81,2011,Bipolar disorder,110.01558864285714,Western Pacific Region,Average
82,2012,Bipolar disorder,110.00349392857144,Western Pacific Region,Average
83,2013,Bipolar disorder,110.01566585714284,Western Pacific Region,Average
84,2014,Bipolar disorder,109.9903944285714,Western Pacific Region,Average
85,2015,Bipolar disorder,109.98174821428572,Western Pacific Region,Average
86,2016,Bipolar disorder,109.986617,Western Pacific Region,Average
87,2017,Bipolar disorder,109.9692747142857,Western Pacific Region,Average
88,2018,Bipolar disorder,109.97418978571427,Western Pacific Region,Average
89,2019,Bipolar disorder,109.9788297857143,Western Pacific Region,Average
90,1990,Eating disorders,41.814330857142856,Western Pacific Region,Average
91,1991,Eating disorders,41.94659221428572,Western Pacific Region,Average
92,1992,Eating disorders,42.07905035714286,Western Pacific Region,Average
93,1993,Eating disorders,42.23786478571429,Western Pacific Region,Average
94,1994,Eating disorders,42.37806171428571,Western Pacific Region,Average
95,1995,Eating disorders,42.58614696428571,Western Pacific Region,Average
96,1996,Eating disorders,42.86212971428571,Western Pacific Region,Average
97,1997,Eating disorders,43.21248878571429,Western Pacific Region,Average
98,1998,Eating disorders,43.60471221428571,Western Pacific Region,Average
99,1999,Eating disorders,44.03335621428571,Western Pacific Region,Average
100,2000,Eating disorders,44.40321371428571,Western Pacific Region,Average
101,2001,Eating disorders,44.889502785714285,Western Pacific Region,Average
102,2002,Eating disorders,45.612411214285714,Western Pacific Region,Average
103,2003,Eating disorders,46.45160571428572,Western Pacific Region,Average
104,2004,Eating disorders,47.21351707142857,Western Pacific Region,Average
105,2005,Eating disorders,47.80952685714286,Western Pacific Region,Average
106,2006,Eating disorders,48.19290128571429,Western Pacific Region,Average
107,2007,Eating disorders,48.60434157142856,Western Pacific Region,Average
108,2008,Eating disorders,49.05290092857143,Western Pacific Region,Average
109,2009,Eating disorders,49.45744728571428,Western Pacific Region,Average
110,2010,Eating disorders,49.88045357142857,Western Pacific Region,Average
111,2011,Eating disorders,50.26908521428573,Western Pacific Region,Average
112,2012,Eating disorders,50.67292742857143,Western Pacific Region,Average
113,2013,Eating disorders,51.08655842857144,Western Pacific Region,Average
114,2014,Eating disorders,51.51682692857144,Western Pacific Region,Average
115,2015,Eating disorders,51.91573842857142,Western Pacific Region,Average
116,2016,Eating disorders,52.50341100000001,Western Pacific Region,Average
117,2017,Eating disorders,53.08080792857142,Western Pacific Region,Average
118,2018,Eating disorders,53.41780107142857,Western Pacific Region,Average
119,2019,Eating disorders,53.72049942857144,Western Pacific Region,Average
120,1990,Anxiety disorders,377.3124935714285,Western Pacific Region,Average
121,1991,Anxiety disorders,377.83885071428574,Western Pacific Region,Average
122,1992,Anxiety disorders,378.2855842857143,Western Pacific Region,Average
123,1993,Anxiety disorders,378.6931407142857,Western Pacific Region,Average
124,1994,Anxiety disorders,378.8691400000001,Western Pacific Region,Average
125,1995,Anxiety disorders,378.8977764285714,Western Pacific Region,Average
126,1996,Anxiety disorders,378.90142714285713,Western Pacific Region,Average
127,1997,Anxiety disorders,379.183775,Western Pacific Region,Average
128,1998,Anxiety disorders,379.5411278571429,Western Pacific Region,Average
129,1999,Anxiety disorders,379.83485500000006,Western Pacific Region,Average
130,2000,Anxiety disorders,379.9183878571429,Western Pacific Region,Average
131,2001,Anxiety disorders,379.5239392857143,Western Pacific Region,Average
132,2002,Anxiety disorders,378.7688942857144,Western Pacific Region,Average
133,2003,Anxiety disorders,377.913795,Western Pacific Region,Average
134,2004,Anxiety disorders,377.11527142857136,Western Pacific Region,Average
135,2005,Anxiety disorders,376.72582571428575,Western Pacific Region,Average
136,2006,Anxiety disorders,376.676735,Western Pacific Region,Average
137,2007,Anxiety disorders,376.57486642857145,Western Pacific Region,Average
138,2008,Anxiety disorders,376.5303885714285,Western Pacific Region,Average
139,2009,Anxiety disorders,376.5305264285713,Western Pacific Region,Average
140,2010,Anxiety disorders,376.56654357142855,Western Pacific Region,Average
